,LEVEL2,LEVEL1,ALTERNATIVE,STATUS,STATUS NOTE,ITEMID,MIMIC LABEL,UNITNAME,LINKSTO,COUNT,CATEGORY,CONCEPTID,FLUID,LOINC_CODE,DBSOURCE,Unnamed: 15,PARAM_TYPE,NOTE
0,Alanine aminotransferase,Alanine aminotransferase,ALT,verify,,50861,ALANINE AMINOTRANSFERASE (ALT),,labevents,219475,CHEMISTRY,,BLOOD,6/1/1742,,,,
1,Alanine aminotransferase,Alanine aminotransferase,ALT,verify,,769,ALT,,chartevents,41594,Enzymes,,,,carevue,,,
2,Alanine aminotransferase,Alanine aminotransferase,ALT,verify,,220644,ALT,None,chartevents,37625,Labs,,,,metavision,,Numeric,
3,Albumin,Albumin,,verify,,50862,ALBUMIN,,labevents,146697,CHEMISTRY,,BLOOD,7/1/1751,,,,
4,Albumin,Albumin,,verify,,772,Albumin (>3.2),,chartevents,31022,Chemistry,,,,carevue,,,
5,Albumin,Albumin,,verify,,1521,Albumin,,chartevents,24454,Chemistry,,,,carevue,,,
6,Albumin,Albumin,,verify,,227456,Albumin,None,chartevents,22945,Labs,,,,metavision,,Numeric with tag,
7,Albumin,Albumin,,verify,,3727,Albumin  (3.9-4.8),,chartevents,546,Chemistry,,,,carevue,,,
8,Albumin,Albumin (ascites),,verify,,50835,"ALBUMIN, ASCITES",,labevents,1592,CHEMISTRY,,ASCITES,1/1/1749,,,,
9,Albumin,Albumin (body fluid),,verify,,51025,"ALBUMIN, BODY FLUID",,labevents,422,CHEMISTRY,,OTHER BODY FLUID,5/1/1747,,,,
10,Albumin,Albumin (pleural),,verify,,51046,"ALBUMIN, PLEURAL",,labevents,1175,CHEMISTRY,,PLEURAL,3/1/1748,,,,
11,Albumin,Albumin (urine),,verify,,51069,"ALBUMIN, URINE",,labevents,2381,CHEMISTRY,,URINE,1/1/1754,,,,
12,Alkaline phosphate,Alkaline phosphate,ALP,verify,,50863,ALKALINE PHOSPHATASE,,labevents,207860,CHEMISTRY,,BLOOD,6/1/6768,,,,
13,Alkaline phosphate,Alkaline phosphate,ALP,verify,,773,Alk. Phosphate,,chartevents,40637,Enzymes,,,,carevue,,,
14,Alkaline phosphate,Alkaline phosphate,ALP,verify,,225612,Alkaline Phosphate,None,chartevents,36836,Labs,,,,metavision,,Numeric,
15,Alkaline phosphate,Alkaline phosphate,ALP,verify,,3728,Alkaline Phosphatase,,chartevents,1651,Chemistry,,,,carevue,,,
16,Anion gap,Anion gap,,verify,,50868,ANION GAP,,labevents,769895,CHEMISTRY,,BLOOD,1863-0,,,,
17,Anion gap,Anion gap,,verify,,227073,Anion gap,None,chartevents,150220,Labs,,,,metavision,,Numeric,
18,Anion gap,Anion gap,,verify,,3732,Anion Gap   (8-20),,chartevents,15517,Chemistry,,,,carevue,,,
19,Asparate aminotransferase,Asparate aminotransferase,AST,verify,,50878,ASPARATE AMINOTRANSFERASE (AST),,labevents,219465,CHEMISTRY,,BLOOD,8/1/1920,,,,
20,Asparate aminotransferase,Asparate aminotransferase,AST,verify,,770,AST,,chartevents,41447,Enzymes,,,,carevue,,,
21,Asparate aminotransferase,Asparate aminotransferase,AST,verify,,220587,AST,None,chartevents,37598,Labs,,,,metavision,,Numeric,
22,Basophils,Basophils,,verify,,51146,BASOPHILS,,labevents,172142,HEMATOLOGY,,BLOOD,704-7,,,,
23,Basophils,Basophils,,verify,,51442,BASOPHILS,,labevents,137,HEMATOLOGY,,PLEURAL,35070-2,,,,
24,Basophils,Basophils,,verify,,51345,BASOPHILS,,labevents,119,HEMATOLOGY,,CEREBROSPINAL FLUID (CSF),30374-3,,,,
25,Basophils,Basophils,,verify,,51112,BASOPHILS,,labevents,82,HEMATOLOGY,,ASCITES,35069-4,,,,
26,Basophils,Basophils,,verify,,51387,BASOPHILS,,labevents,75,HEMATOLOGY,,OTHER BODY FLUID,28543-7,,,,
27,Basophils,Basophils,,verify,,51367,BASOPHILS,,labevents,10,HEMATOLOGY,,JOINT FLUID,17833-5,,,,
28,Bicarbonate,Bicarbonate,HCO3,verify,,50882,BICARBONATE,,labevents,780733,CHEMISTRY,,BLOOD,8/1/1963,,,,
29,Bicarbonate,Bicarbonate (serum),HCO3 (serum),verify,,227443,HCO3 (serum),None,chartevents,152671,Labs,,,,metavision,,Numeric with tag,
30,Bicarbonate,Bicarbonate (urine),HCO3 (urine),verify,,51076,"BICARBONATE, URINE",,labevents,1000,CHEMISTRY,,URINE,6/1/1964,,,,
31,Bicarbonate,Bicarbonate (whole blood),HCO3 (whole blood),verify,,50803,"CALCULATED BICARBONATE, WHOLE BLOOD",,labevents,9246,BLOOD GAS,,BLOOD,6/1/1959,,,,
32,Bilirubin,Bilirubin (blody fluid),,verify,,51028,"BILIRUBIN, TOTAL, BODY FLUID",,labevents,355,CHEMISTRY,,OTHER BODY FLUID,5/1/1974,,,,
33,Bilirubin,Bilirubin (conjugated),Direct bilirubin,verify,,50883,"BILIRUBIN, DIRECT",,labevents,45205,CHEMISTRY,,BLOOD,7/1/1968,,,,
34,Bilirubin,Bilirubin (conjugated),Direct bilirubin,verify,,803,Direct Bili (0-0.3),,chartevents,22646,Chemistry,,,,carevue,,,
35,Bilirubin,Bilirubin (conjugated),Direct bilirubin,verify,,225651,Direct Bilirubin,None,chartevents,3341,Labs,,,,metavision,,Numeric,
36,Bilirubin,Bilirubin (CSF),,verify,,51012,"BILIRUBIN, TOTAL, CSF",,labevents,3,CHEMISTRY,,CEREBROSPINAL FLUID (CSF),7/1/1973,,,,
